City,Latitude,Longitude,Store Name,Store Type,Foot Traffic,Avg Spending Capacity,Competition Density,Population Density,Avg Income,Rating,Rent Cost
lucknow,26.90949577398326,80.80111973667137,MegaMart-73,Supermarket,704,4681,6,17446,32545,2.9,467813
bhopal,22.188418148938634,78.06506934267098,FreshMart-87,Electronics,825,2775,38,22877,89792,3.2,473695
patna,22.554847192876828,77.6164199973444,HomeComforts-72,Restaurant,244,1704,12,12626,48477,2.7,12702
jaipur,26.784527692074985,75.95228444081177,StyleHub-32,Restaurant,1540,4203,18,17521,20304,4.3,438267
hyderabad,17.33821015456499,78.60537028621428,Foodies-38,Grocery,1135,3020,14,10195,31000,3.1,469131
jaipur,26.85047744239172,75.94457262276364,FreshMart-53,Clothing,1564,492,34,2432,93254,5.0,266119
ahmedabad,23.023953670829027,72.69765839655412,GoldNest-98,Supermarket,431,2713,34,8870,53960,4.8,406497
pune,18.679028538588007,73.89109773588828,MegaMart-32,Pharmacy,1364,1603,43,10088,22023,2.6,321062
ahmedabad,23.092830156006773,72.51539329426618,Foodies-93,Electronics,1332,1436,2,11140,62452,2.9,223374
pune,18.439895090562025,73.97134256420385,GoldNest-16,Grocery,1574,469,42,5162,52930,3.9,394102
delhi,28.72533619636505,77.00941297369106,HomeComforts-78,Electronics,771,1403,29,14790,56965,3.9,288251
kolkata,22.647749346169785,88.37071856104033,Foodies-79,Restaurant,1265,4457,19,22790,84259,4.9,497632
surat,22.463995666683847,77.94570959611525,Foodies-11,Electronics,1019,3720,41,27210,63877,2.7,289807
kolkata,22.52606043636288,88.44081505255213,MegaMart-72,Electronics,1020,1212,40,6432,79709,2.7,204775
chennai,12.891264878864728,80.17909718932614,MediCare-6,Supermarket,486,2760,26,13712,30250,3.2,329362
kolkata,22.677877867543756,88.45071774172274,FreshMart-98,Grocery,721,4967,47,5030,20108,4.7,470177
bhopal,22.1897172664115,78.06487635312509,Foodies-70,Grocery,678,2438,12,22949,53289,2.9,250645
bhopal,22.18970418359776,78.06525007401623,MegaMart-94,Pharmacy,174,991,16,3278,28659,4.7,42286
chandigarh,22.29105803761652,78.05184052042088,Foodies-23,Electronics,793,3868,23,16181,50873,2.9,417807
chandigarh,22.291213640584434,78.05223895423688,Foodies-74,Supermarket,1276,321,38,1420,94399,2.8,32761
pune,18.50633327182173,73.91737810014122,MediCare-52,Restaurant,1798,1132,38,17323,25935,4.4,203135
bhopal,22.188662768216645,78.0653042175702,FreshMart-69,Jewelry,1621,3180,30,15795,99260,3.3,460904
bhopal,22.18946846259465,78.06464393298933,MegaMart-46,Clothing,641,2679,39,9627,34944,4.1,71695
pune,18.470640857333727,73.86261562861147,MegaMart-28,Electronics,1193,1633,26,18675,99342,3.3,35976
bhopal,22.18904357091648,78.06507764194944,MegaMart-93,Pharmacy,454,1466,27,7776,67325,3.2,171185
indore,22.887544873213493,78.46513464687598,Foodies-42,Supermarket,1835,1994,29,14738,48976,2.6,491096
pune,18.50238833705141,73.8291109019823,GoldNest-30,Electronics,1975,1699,10,7146,5577,3.0,488108
kolkata,22.668562338741772,88.3784491882257,Foodies-16,Jewelry,87,3289,45,9182,10651,3.6,40322
kolkata,22.537272354195586,88.43069392942061,TechZone-24,Supermarket,1906,271,31,28864,17850,2.7,141228
lucknow,26.773117605392574,80.94003083168843,FreshMart-10,Grocery,598,1332,9,15397,28882,4.4,268193
pune,18.50935127352283,73.91425514047026,FreshMart-6,Jewelry,1616,1068,22,3949,68908,4.5,371977
indore,22.888097483965225,78.46409824369636,MediCare-88,Electronics,1823,175,35,21458,94776,4.8,96691
kolkata,22.56600679241327,88.43816169370017,Foodies-16,Pharmacy,128,4286,14,29284,49485,2.8,399184
lucknow,26.812343424163366,81.08196655764966,MegaMart-78,Furniture,1612,2752,10,15799,59341,3.5,451199
ahmedabad,23.142527279737486,72.59950064372028,MediCare-66,Grocery,761,2289,32,8111,83607,2.7,94243
chennai,12.88643237528272,80.27656446997571,MegaMart-79,Electronics,1627,2568,11,18769,59695,3.2,185752
lucknow,26.86205003024999,81.01015192805016,Foodies-86,Clothing,636,4086,33,9849,73997,2.5,426898
hyderabad,17.42983553283613,78.50814935888282,Foodies-24,Electronics,1624,3756,44,24934,72407,4.6,444388
kolkata,22.565906861709852,88.41099124600916,StyleHub-1,Restaurant,1307,4646,29,29232,7725,2.7,481960
jaipur,27.019341704265447,75.79039750300248,StyleHub-13,Grocery,1458,1941,3,23113,26491,2.6,228178
kolkata,22.542515085945467,88.34768906257635,StyleHub-36,Jewelry,896,498,36,11000,32730,3.8,488751
lucknow,26.954374907139897,81.06577805743262,FreshMart-5,Pharmacy,1767,4217,17,23554,92595,3.4,493553
chennai,13.092378844314542,80.20819948152952,Foodies-12,Restaurant,319,3663,31,26424,72217,4.6,274997
ahmedabad,23.072170555344318,72.52153595991307,MegaMart-50,Electronics,1457,2279,43,8653,62451,2.6,122805
lucknow,26.87545275254212,81.06099027447057,TechZone-32,Clothing,1156,2147,6,2790,40808,2.7,111487
surat,22.46411247764028,77.94465859364226,FreshMart-70,Restaurant,1804,192,37,1981,38010,4.5,325745
kolkata,22.451957315572255,88.35954819523327,TechZone-67,Pharmacy,1830,2266,18,17572,25339,3.1,303207
kolkata,22.748242919798354,88.43887900021927,FreshMart-59,Clothing,794,4891,17,6741,24068,4.8,296478
bangalore,13.136268150544655,77.55711492198382,MediCare-30,Pharmacy,1627,967,26,11670,30719,3.3,208019
mumbai,19.229174433970318,72.85997314641722,TechZone-72,Jewelry,1743,678,46,28460,58200,3.2,226712
bangalore,13.097768126549427,77.52503318674765,FreshMart-95,Restaurant,611,4481,11,14152,40975,3.2,104475
surat,22.463576245462583,77.94527748537261,Foodies-71,Jewelry,862,2620,33,6876,19799,2.7,355865
kolkata,22.713723348078815,88.45370684547261,TechZone-34,Supermarket,1301,2405,32,3269,13611,2.7,176077
